Date, Open, High, Low, Close
08/12/21, 4446.08, 4461.77, 4435.96, 4460.83
08/11/21, 4442.18, 4449.44, 4436.42, 4447.70
08/10/21, 4435.79, 4445.21, 4430.03, 4436.75
08/09/21, 4437.77, 4439.39, 4424.74, 4432.35
08/06/21, 4429.07, 4440.82, 4429.07, 4436.52
08/05/21, 4408.86, 4429.76, 4408.86, 4429.10
08/04/21, 4415.95, 4416.17, 4400.23, 4402.66
08/03/21, 4392.74, 4423.79, 4373.00, 4423.15
08/02/21, 4406.86, 4422.18, 4384.81, 4387.16
07/30/21, 4395.12, 4412.25, 4389.65, 4395.26
07/29/21, 4403.59, 4429.97, 4403.59, 4419.15
07/28/21, 4402.95, 4415.47, 4387.01, 4400.64
07/27/21, 4416.38, 4416.38, 4372.51, 4401.46
07/26/21, 4409.58, 4422.73, 4405.45, 4422.30
07/23/21, 4381.20, 4415.18, 4381.20, 4411.79
07/22/21, 4361.27, 4369.87, 4350.06, 4367.48
07/21/21, 4331.13, 4359.70, 4331.13, 4358.69
07/20/21, 4265.11, 4336.84, 4262.05, 4323.06
07/19/21, 4296.40, 4296.40, 4233.13, 4258.49
07/16/21, 4367.43, 4375.09, 4322.53, 4327.16
07/15/21, 4369.02, 4369.02, 4340.70, 4360.03
07/14/21, 4380.11, 4393.68, 4362.36, 4374.30
07/13/21, 4381.07, 4392.37, 4366.92, 4369.21
07/12/21, 4372.41, 4386.68, 4364.03, 4384.63
07/09/21, 4329.38, 4371.60, 4329.38, 4369.55
07/08/21, 4321.07, 4330.88, 4289.37, 4320.82
07/07/21, 4351.01, 4361.88, 4329.79, 4358.13
07/06/21, 4356.46, 4356.46, 4314.37, 4343.54
07/02/21, 4326.60, 4355.43, 4326.60, 4352.34
07/01/21, 4300.73, 4320.66, 4300.73, 4319.94
06/30/21, 4290.65, 4302.43, 4287.96, 4297.50
06/29/21, 4293.21, 4300.52, 4287.04, 4291.80
06/28/21, 4284.90, 4292.14, 4274.67, 4290.61
06/25/21, 4274.45, 4286.12, 4271.16, 4280.70
06/24/21, 4256.97, 4271.28, 4256.97, 4266.49
06/23/21, 4249.27, 4256.60, 4241.43, 4241.84
06/22/21, 4224.61, 4255.84, 4217.27, 4246.44
06/21/21, 4173.40, 4226.24, 4173.40, 4224.79
06/18/21, 4204.78, 4204.78, 4164.40, 4166.45
06/17/21, 4220.37, 4232.29, 4196.05, 4221.86
06/16/21, 4248.87, 4251.89, 4202.45, 4223.70
06/15/21, 4255.28, 4257.16, 4238.35, 4246.59
06/14/21, 4248.31, 4255.59, 4234.07, 4255.15
06/11/21, 4242.90, 4248.38, 4232.25, 4247.44
06/10/21, 4228.56, 4249.74, 4220.34, 4239.18
06/09/21, 4232.99, 4237.09, 4218.74, 4219.55
06/08/21, 4233.81, 4236.74, 4208.41, 4227.26
06/07/21, 4229.34, 4232.34, 4215.66, 4226.52
06/04/21, 4206.05, 4233.45, 4206.05, 4229.89
06/03/21, 4191.43, 4204.39, 4167.93, 4192.85
06/02/21, 4206.82, 4217.37, 4198.27, 4208.12
06/01/21, 4216.52, 4234.12, 4197.59, 4202.04
05/28/21, 4210.77, 4218.36, 4203.57, 4204.11
05/27/21, 4201.94, 4213.38, 4197.78, 4200.88
05/26/21, 4191.59, 4202.61, 4184.11, 4195.99
05/25/21, 4205.94, 4213.42, 4182.52, 4188.13
05/24/21, 4170.16, 4209.52, 4170.16, 4197.05
05/21/21, 4168.61, 4188.72, 4151.72, 4155.86
05/20/21, 4121.97, 4172.80, 4121.97, 4159.12
05/19/21, 4098.45, 4116.93, 4061.41, 4115.68
05/18/21, 4165.94, 4169.15, 4125.99, 4127.83
05/17/21, 4169.92, 4171.92, 4142.69, 4163.29
05/14/21, 4129.58, 4183.13, 4129.58, 4173.85
05/13/21, 4074.99, 4131.58, 4074.99, 4112.50
05/12/21, 4130.55, 4134.73, 4056.88, 4063.04
05/11/21, 4150.34, 4162.04, 4111.53, 4152.10
05/10/21, 4228.29, 4236.39, 4188.13, 4188.43
05/07/21, 4210.34, 4238.04, 4201.64, 4232.60
05/06/21, 4169.14, 4202.70, 4147.33, 4201.62
05/05/21, 4177.06, 4187.72, 4160.94, 4167.59
05/04/21, 4179.04, 4179.04, 4128.59, 4164.66
05/03/21, 4191.98, 4209.39, 4188.03, 4192.66
04/30/21, 4198.10, 4198.10, 4174.85, 4181.17
04/29/21, 4206.14, 4218.78, 4176.81, 4211.47
04/28/21, 4185.14, 4201.53, 4181.78, 4183.18
04/27/21, 4188.25, 4193.35, 4176.22, 4186.72
04/26/21, 4185.03, 4194.19, 4182.36, 4187.62
04/23/21, 4138.78, 4194.17, 4138.78, 4180.17
04/22/21, 4170.46, 4179.57, 4123.69, 4134.98
04/21/21, 4128.42, 4175.02, 4126.35, 4173.42
04/20/21, 4159.18, 4159.18, 4118.38, 4134.94
04/19/21, 4179.80, 4180.81, 4150.47, 4163.26
04/16/21, 4174.14, 4191.31, 4170.75, 4185.47
04/15/21, 4139.76, 4173.49, 4139.76, 4170.42
04/14/21, 4141.58, 4151.69, 4120.87, 4124.66
04/13/21, 4130.10, 4148.00, 4124.43, 4141.59
04/12/21, 4124.71, 4131.76, 4114.82, 4127.99
04/09/21, 4096.11, 4129.48, 4095.51, 4128.80
04/08/21, 4089.95, 4098.19, 4082.54, 4097.17
04/07/21, 4074.29, 4083.13, 4068.31, 4079.95
04/06/21, 4075.57, 4086.23, 4068.14, 4073.94
04/05/21, 4034.44, 4083.42, 4034.44, 4077.91
04/01/21, 3992.78, 4020.63, 3992.78, 4019.87
03/31/21, 3967.25, 3994.41, 3966.98, 3972.89
03/30/21, 3963.34, 3968.01, 3944.35, 3958.55
03/29/21, 3969.31, 3981.83, 3943.25, 3971.09
03/26/21, 3917.12, 3978.19, 3917.12, 3974.54
03/25/21, 3879.34, 3919.54, 3853.50, 3909.52
03/24/21, 3919.93, 3942.08, 3889.07, 3889.14
03/23/21, 3937.60, 3949.13, 3901.57, 3910.52
03/22/21, 3916.48, 3955.31, 3914.16, 3940.59
03/19/21, 3913.14, 3930.12, 3886.75, 3913.10
03/18/21, 3953.50, 3969.62, 3910.86, 3915.46
03/17/21, 3949.57, 3983.87, 3935.74, 3974.12
03/16/21, 3973.59, 3981.04, 3953.44, 3962.71
03/15/21, 3942.96, 3970.08, 3923.54, 3968.94
03/12/21, 3924.52, 3944.99, 3915.21, 3943.34
03/11/21, 3915.54, 3960.27, 3915.54, 3939.34
03/10/21, 3891.99, 3917.35, 3885.73, 3898.81
03/09/21, 3851.93, 3903.76, 3851.93, 3875.44
03/08/21, 3844.39, 3881.06, 3819.25, 3821.35
03/05/21, 3793.58, 3851.69, 3730.19, 3841.94
03/04/21, 3818.53, 3843.67, 3723.34, 3768.47
03/03/21, 3863.99, 3874.47, 3818.86, 3819.72
03/02/21, 3903.64, 3906.41, 3868.57, 3870.29
03/01/21, 3842.51, 3914.50, 3842.51, 3901.82
02/26/21, 3839.66, 3861.08, 3789.54, 3811.15
02/25/21, 3915.80, 3925.02, 3814.04, 3829.34
02/24/21, 3873.71, 3928.65, 3859.60, 3925.43
02/23/21, 3857.07, 3895.98, 3805.59, 3881.37
02/22/21, 3885.55, 3902.92, 3874.71, 3876.50
02/19/21, 3921.16, 3930.41, 3903.07, 3906.71
02/18/21, 3915.86, 3921.98, 3885.03, 3913.97
02/17/21, 3918.50, 3933.61, 3900.43, 3931.33
02/16/21, 3939.61, 3950.43, 3923.85, 3932.59
02/12/21, 3911.65, 3937.23, 3905.78, 3934.83
02/11/21, 3916.40, 3925.99, 3890.39, 3916.38
02/10/21, 3920.78, 3931.50, 3884.94, 3909.88
02/09/21, 3910.49, 3918.35, 3902.64, 3911.23
02/08/21, 3892.59, 3915.77, 3892.59, 3915.59
02/05/21, 3878.30, 3894.56, 3874.93, 3886.83
02/04/21, 3836.66, 3872.42, 3836.66, 3871.74
02/03/21, 3840.27, 3847.51, 3816.68, 3830.17
02/02/21, 3791.84, 3843.09, 3791.84, 3826.31
02/01/21, 3731.17, 3784.32, 3725.62, 3773.86
01/29/21, 3778.05, 3778.05, 3694.12, 3714.24
01/28/21, 3755.75, 3830.50, 3755.75, 3787.38
01/27/21, 3836.83, 3836.83, 3732.48, 3750.77
01/26/21, 3862.96, 3870.90, 3847.78, 3849.62
01/25/21, 3851.68, 3859.23, 3797.16, 3855.36
01/22/21, 3844.24, 3852.31, 3830.41, 3841.47
01/21/21, 3857.46, 3861.45, 3845.05, 3853.07
01/20/21, 3816.22, 3859.75, 3816.22, 3851.85
01/19/21, 3781.88, 3804.53, 3780.37, 3798.91
01/15/21, 3788.73, 3788.73, 3749.62, 3768.25
01/14/21, 3814.98, 3823.60, 3792.86, 3795.54
01/13/21, 3802.23, 3820.96, 3791.50, 3809.84
01/12/21, 3801.62, 3810.78, 3776.51, 3801.19
01/11/21, 3803.14, 3817.86, 3789.02, 3799.61
01/08/21, 3815.05, 3826.69, 3783.60, 3824.68
01/07/21, 3764.71, 3811.55, 3764.71, 3803.79
01/06/21, 3712.20, 3783.04, 3705.34, 3748.14
01/05/21, 3698.02, 3737.83, 3695.07, 3726.86
01/04/21, 3764.61, 3769.99, 3662.71, 3700.65
12/31/20, 3733.27, 3760.20, 3726.88, 3756.07
12/30/20, 3736.19, 3744.63, 3730.21, 3732.04
12/29/20, 3750.01, 3756.12, 3723.31, 3727.04
